id,word,year,mean_weighted_sentiment
16280,καθολου,-479.0,-0.9812
16280,καθολου,-353.0,-0.8408666666666667
16280,καθολου,-300.0,-0.9541
16280,καθολου,-155.0,-0.94875
16280,καθολου,-50.0,-0.9356478260869565
16280,καθολου,127.0,-0.9617
16280,καθολου,147.0,-0.903
16280,καθολου,150.0,-0.9457
16280,καθολου,172.0,-0.9915
16280,καθολου,200.0,-0.9464799999999999
16280,καθολου,237.0,-0.8834500000000001
16280,καθολου,269.0,-0.9619
16280,καθολου,320.0,-0.9348
16280,καθολου,352.0,-0.9588800000000001
16280,καθολου,448.0,-0.16885
16280,καθολου,530.0,-0.9483
16280,καθολου,550.0,-0.941181818181818
16280,καθολου,950.0,-0.9570285714285715
16280,καθολου,1127.0,-0.9716
