id,word,year,mean_weighted_sentiment
14574,ηδονη,-450.0,-0.9838
14574,ηδονη,-387.0,-0.8468666666666667
14574,ηδονη,-353.0,-0.9349714285714287
14574,ηδονη,-266.0,-0.9658
14574,ηδονη,-50.0,-0.9474769230769231
14574,ηδονη,15.0,-0.922375
14574,ηδονη,147.0,-0.9098
14574,ηδονη,150.0,-0.9253806818181818
14574,ηδονη,200.0,-0.9727314285714286
14574,ηδονη,219.0,-0.9211
14574,ηδονη,237.0,-0.4473666666666667
14574,ηδονη,311.0,-0.9013
14574,ηδονη,350.0,-0.9624666666666667
14574,ηδονη,425.0,-0.9463999999999999
14574,ηδονη,447.0,-0.863
14574,ηδονη,448.0,-0.9504
14574,ηδονη,490.0,-0.87175
14574,ηδονη,950.0,-0.9655545454545454
14574,ηδονη,1127.0,-0.9166
